,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
team,Rk,W,D,L,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A,G-PK90,G+A-PK,xG,npxG,xA,npxG+xA,xG90,xA90,xG+xA,npxG90,npxG+xA90
Liverpool FC,1,32,3,3,24,26.6,63.4,38,418,3420,38,83,69,78,5,5,38,1,2.18,1.82,4,2.05,3.87,71.5,67.7,51.8,119.5,1.88,1.36,3.25,1.78,3.15
Manchester City,2,26,3,9,24,26.9,66.9,38,418,3420,38,100,69,94,6,11,64,4,2.63,1.82,4.45,2.47,4.29,93,84.6,66.2,150.8,2.45,1.74,4.19,2.23,3.97
Manchester United,3,18,12,8,29,24.8,56.2,38,418,3420,38,65,43,55,10,14,73,0,1.71,1.13,2.84,1.45,2.58,59.4,48.8,37,85.8,1.56,0.97,2.54,1.28,2.26
Chelsea FC,4,20,6,12,27,25.5,60.7,38,418,3420,38,69,46,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,66.6,61.7,46.2,107.9,1.75,1.22,2.97,1.62,2.84
Leicester City,5,18,8,12,24,26.1,57.6,38,418,3420,38,65,48,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84,61.6,56.2,44,100.3,1.62,1.16,2.78,1.48,2.64
Tottenham Hotspur,6,16,11,11,29,26.7,52.2,38,418,3420,38,56,39,53,3,4,84,3,1.47,1.03,2.5,1.39,2.42,46.1,43,30.8,73.8,1.21,0.81,2.02,1.13,1.94
Wolverhampton Wanderers,7,15,14,9,21,26.6,48.3,38,418,3420,38,49,34,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08,47.1,44.1,32.3,76.3,1.24,0.85,2.09,1.16,2.01
Arsenal FC,8,14,14,10,29,25.8,54,38,418,3420,38,56,35,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,49.2,46.9,29.9,76.9,1.3,0.79,2.08,1.24,2.02
Sheffield United,9,14,12,12,26,26.9,43.1,38,418,3420,38,36,25,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58,41.5,40.8,31.5,72.3,1.09,0.83,1.92,1.07,1.9
Burnley FC,10,15,9,14,22,28,41.4,38,418,3420,38,41,30,38,3,3,67,0,1.08,0.79,1.87,1,1.79,43.9,41.6,27.2,68.8,1.15,0.72,1.87,1.09,1.81
Southampton FC,11,15,7,16,25,25.9,49.3,38,418,3420,38,51,32,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13,53.9,50,31.4,81.4,1.42,0.83,2.25,1.32,2.14
Everton FC,12,13,10,15,24,25.5,49.2,38,418,3420,38,42,32,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,49.3,48.5,30.9,79.4,1.3,0.81,2.11,1.28,2.09
Newcastle United,13,11,11,16,28,26.5,38.6,38,418,3420,38,38,29,38,0,1,66,3,1,0.76,1.76,1,1.76,33.1,32.3,23.2,55.6,0.87,0.61,1.48,0.85,1.46
Crystal Palace,14,11,10,17,25,29.4,44.5,38,418,3420,38,29,20,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,34,31.9,23.6,55.5,0.9,0.62,1.52,0.84,1.46
Brighton & Hove Albion,15,9,14,15,25,26.4,52.2,38,418,3420,38,35,24,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,41.2,39.7,26.5,66.2,1.08,0.7,1.78,1.04,1.74
West Ham United,16,10,9,19,29,27.4,44,38,418,3420,38,49,36,45,4,4,64,1,1.29,0.95,2.24,1.18,2.13,46.2,43.2,31.8,75,1.22,0.84,2.05,1.14,1.97
Aston Villa,17,9,8,21,28,25.7,43.9,38,418,3420,38,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,40.1,37.7,30.4,68.1,1.05,0.8,1.85,0.99,1.79
AFC Bournemouth,18,9,7,22,27,25.2,43.8,38,418,3420,38,38,24,34,4,4,78,3,1,0.63,1.63,0.89,1.53,42.7,39.7,27.4,67,1.12,0.72,1.84,1.04,1.76
Watford FC,19,8,10,20,26,28.9,42.5,38,418,3420,38,35,21,28,7,8,80,3,0.92,0.55,1.47,0.74,1.29,45.1,39.1,28.2,67.3,1.19,0.74,1.93,1.03,1.77
Norwich City,20,5,6,27,30,26,49.3,38,418,3420,38,25,18,23,2,2,68,3,0.66,0.47,1.13,0.61,1.08,38,36.6,26.1,62.7,1,0.69,1.69,0.96,1.65
