team,expenditure,income,net_spend,largest_in,largest_out,badge
Manchester City,143.57,63.9,-79.67,58.5,33.3,https://tmssl.akamaized.net/images/wappen/normal/281.png?lm=1467356331
Liverpool FC,9.36,37.44,28.08,7.65,19.98,https://tmssl.akamaized.net/images/wappen/normal/31.png?lm=1456567819
Chelsea FC,40.5,141.54,101.04,40.5,103.5,https://tmssl.akamaized.net/images/wappen/head/631.png?lm=1444558831
Tottenham Hotspur,133.65,58.05,-75.6,54,24.3,https://tmssl.akamaized.net/images/wappen/head/148.png?lm=1544345801
Arsenal FC,144.36,48.29,-96.07,72,27.36,https://tmssl.akamaized.net/images/wappen/head/11.png?lm=1489787850
Manchester United,204.1,73.06,-131.04,78.3,66.6,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903
Wolverhampton Wanderers,115.02,21.69,-93.33,34.2,10.62,https://tmssl.akamaized.net/images/wappen/normal/543.png?lm=1467496784
Everton FC,108.9,72.45,-36.45,27.36,27,https://tmssl.akamaized.net/images/wappen/head/29.png?lm=1445949846
Leicester City,93.87,79.65,-14.22,40.5,78.3,https://tmssl.akamaized.net/images/wappen/head/1003.png?lm=1472229265
West Ham United,105.48,49.48,-56,45,22.5,https://tmssl.akamaized.net/images/wappen/head/379.png?lm=1464675260
Watford FC,43.2,22.86,-20.34,27,18,https://tmssl.akamaized.net/images/wappen/head/1010.png?lm=1468103673
Crystal Palace,6.84,49.84,43,2.97,49.5,https://tmssl.akamaized.net/images/wappen/head/873.png?lm=1457723287
Newcastle United,65.61,32.08,-33.53,39.6,30.06,https://tmssl.akamaized.net/images/wappen/head/762.png?lm=1472921161
AFC Bournemouth,50.81,31.05,-19.76,16.2,20.07,https://tmssl.akamaized.net/images/wappen/head/989.png?lm=1457991811
Burnley FC,21.47,12.2,-9.27,9,7.92,https://tmssl.akamaized.net/images/wappen/head/1132.png?lm=1587809239
Southampton FC,52.74,24.57,-28.17,19.98,13.95,https://tmssl.akamaized.net/images/wappen/head/180.png?lm=1444560086
Brighton & Hove Albion,67.45,7.65,-59.8,20,4.05,https://tmssl.akamaized.net/images/wappen/head/1237.png?lm=1492718902
Norwich City,7.93,1.98,-5.95,3.74,0.9,https://tmssl.akamaized.net/images/wappen/head/1123.png?lm=1457723273
Sheffield United,64.35,0.315,-64.035,21.6,0.18,https://tmssl.akamaized.net/images/wappen/head/350.png?lm=1409254138
Aston Villa,143.19,2.7,-140.49,22.5,2.7,https://tmssl.akamaized.net/images/wappen/head/405.png?lm=1469443765
